@RELATION test

@ATTRIBUTE ts NUMERIC
@ATTRIBUTE ax NUMERIC
@ATTRIBUTE ay NUMERIC
@ATTRIBUTE az NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE class {0, 1, 2, 3}

@DATA
3015,0.120252,-0.360252,-0.83169,0.914303,0
3135,0.035725,-0.950603,-0.869625,1.288864,0
3254,-0.199074,0.041102,-1.168363,1.185914,0
3373,0.019289,-0.145772,-1.007139,1.017817,0
3492,-0.105154,-0.014111,-0.890963,0.897258,0
3628,-0.15681,-0.086312,-0.88148,0.89947,0
3764,-0.116894,-0.109671,-1.023736,1.036208,0
3900,0.054509,-0.243456,-0.98343,1.014582,0
4032,0.13434,-0.273186,-0.90756,0.957258,1
4152,-0.037063,-0.141525,-0.853028,0.865483,1
4296,-0.177942,-0.118166,-0.93364,0.957763,1
4442,-0.18029,-0.128783,-0.869625,0.897406,2
4590,-0.138026,0.20674,-0.649128,0.695096,2
4709,-0.105154,0.344772,-0.492645,0.61043,2
4828,-0.140374,0.735508,-0.329051,0.817894,2
4981,-0.175594,2.039377,-0.400179,2.085674,2
5116,-0.82129,0.954235,-0.743965,1.462383,2
5235,-0.652235,1.82065,-0.758191,2.077265,2
5355,-0.689803,0.595352,-0.722627,1.162954,2
5474,0.695509,0.803462,-0.286374,1.100588,3
5602,0.148428,0.642071,-1.094864,1.277894,3
5721,-0.081674,1.236669,-0.876738,1.518121,3
5856,-0.401,1.287635,0.07638,1.350792,3
5988,0.054509,1.491497,-0.340905,1.530931,3
6119,1.064142,0.338401,-1.289282,1.705626,3
6238,0.387923,0.026237,-0.945495,1.022318,3
6358,0.059205,0.024113,-0.687063,0.69003,1
6477,-0.438568,0.217358,-0.710772,0.863008,1
6596,-0.300037,0.119674,-0.615934,0.695499,2
6715,-0.10985,0.427591,-0.642015,0.779156,2
6835,0.031029,0.841686,-0.397808,0.931477,2
6986,-0.222553,1.52335,-0.390695,1.588323,2
7132,-0.985649,1.591304,-0.608822,1.968354,2
7288,-1.405938,1.816402,-1.241863,2.611169,2
7407,-0.354041,0.591105,-0.85777,1.100236,2
7538,0.44897,0.580487,-0.65624,0.984475,3
7657,-0.084022,1.102884,-1.047445,1.523337,3
7842,-0.21551,1.283388,-0.182052,1.314029,3
7962,-0.323517,2.46409,-0.004232,2.485241,3
8094,1.127538,0.661183,-1.272685,1.824344,3
8213,0.48419,0.100562,-1.270314,1.363177,3
8333,-0.015931,0.196122,-0.845916,0.868499,3
8460,-0.213162,0.232223,-0.684692,0.753769,1
8580,-0.114546,0.366007,-0.675208,0.776523,1
8699,-0.264817,0.402108,-0.521097,0.709479,2
8818,0.080337,0.924505,-0.47842,1.044054,2
8937,-0.262469,1.385319,-0.45471,1.481472,2
9081,-0.905817,1.82065,-0.438114,2.080195,2
9200,0.164864,1.262152,-0.390695,1.331484,2
9320,-1.220447,1.542462,-1.289282,2.351793,2
9439,-0.330561,0.928752,-0.888592,1.327195,2
9569,0.085033,0.794968,-1.026107,1.300807,3
9717,-0.088718,1.151726,-0.893334,1.460271,3
9836,-0.438568,1.107132,-0.051651,1.191952,3
9956,0.000505,2.243239,-0.449969,2.287923,3
10088,1.162758,0.196122,-0.442856,1.259599,3
10207,0.272871,-0.135154,-0.850657,0.903517,1
10343,-0.154462,0.092067,-0.834061,0.853225,1
10479,-0.149766,0.225852,-0.689434,0.740782,1
10626,-0.093414,0.491298,-0.770045,0.918188,1
10762,-0.170898,0.809832,-0.385953,0.913233,2
10898,0.164864,1.478755,-0.338534,1.525943,2
11017,-0.82129,2.090342,-0.542435,2.310472,2
11174,1.012487,0.860798,-0.065876,1.33058,2
11294,-1.281495,1.682618,-1.232379,2.447895,2
11429,0.070945,0.688789,-0.442856,0.82194,3
11549,0.711945,0.493421,-1.206298,1.485088,3
11668,0.221216,1.310994,-0.751078,1.52701,3
11787,-0.09811,1.277017,-0.044538,1.281554,3
11923,-0.105154,2.46409,0.07638,2.467515,3
12076,0.906827,0.123921,-0.63016,1.111213,3
12217,0.444274,0.11118,-0.879109,0.991248,1
12348,0.045117,0.015619,-0.900447,0.901712,1
12467,-0.278905,0.251335,-0.791384,0.875926,1
12611,-0.088718,0.285312,-0.73211,0.790734,1
12747,-0.048803,0.433961,-0.658611,0.790236,2
12883,0.007549,0.930876,-0.60408,1.109729,2
13002,-0.217858,1.336477,-0.45234,1.42767,2
13151,-0.678063,1.854627,-0.457081,2.026902,2
13287,-0.532488,1.542462,-0.921786,1.874146,2
13423,-0.300037,0.981841,-1.066413,1.480294,2
13559,0.197736,0.406355,-0.592225,0.744953,3
13689,0.20478,0.833192,-0.853028,1.209876,3
13808,0.094425,0.930876,-0.677579,1.155231,3
13936,-0.537184,1.181456,0.00051,1.297846,3
14055,0.24,1.812155,-0.594596,1.922251,3
14188,0.852824,-0.409094,-1.339071,1.639445,3
14324,0.063901,-0.101177,-0.843545,0.85199,1
14459,-0.285949,0.043225,-0.786642,0.838118,1
14616,-0.264817,0.217358,-0.751078,0.825524,1
14751,-0.140374,0.33203,-0.774787,0.854543,1
14898,-0.105154,0.705778,-0.568516,0.912354,2
15034,0.096772,1.15385,-0.388324,1.221282,2
15153,-0.771982,1.852503,-0.642015,2.107109,2
15314,0.202432,1.111379,-0.305341,1.170203,2
15441,-1.006781,1.461767,-1.094864,2.085449,2
15577,-0.321169,0.9691,-0.824577,1.312338,2
15713,0.404359,0.688789,-0.914673,1.214316,3
15832,0.120252,1.126244,-0.807981,1.391301,3
15951,-0.011235,0.943617,-0.27689,0.983467,3
16087,-0.281253,2.018141,-0.179681,2.045552,3
16223,1.383468,1.531845,-1.960258,2.846602,3
16355,0.298699,-0.283804,-0.80561,0.90486,1
16491,-0.10985,0.045349,-0.962092,0.969404,1
16627,-0.208466,0.068708,-0.762933,0.79388,1
16771,-0.238989,0.115427,-0.75582,0.801064,1
16919,-0.058195,0.291683,-0.751078,0.807826,2
17075,-0.091066,0.701531,-0.703659,0.997785,2
17211,0.139036,1.245163,-0.502129,1.349777,2
17330,-0.661627,1.691112,-0.20102,1.827025,2
17495,-0.238989,0.582611,-0.265035,0.683224,2
17642,-0.915209,1.748448,-1.265572,2.34443,2
17789,-0.222553,0.327783,-0.118037,0.413406,2
17925,0.350355,0.234346,-0.366986,0.558879,2
18044,0.547586,0.134539,-0.694175,0.894332,2
18163,0.592197,0.289559,-0.724998,0.979879,2
18291,0.50767,0.230099,-0.596967,0.816728,2
18421,0.547586,0.223728,-0.561403,0.815523,2
18554,0.603937,0.227976,-0.611192,0.888971,2
18673,0.51941,0.240717,-0.729739,0.927497,2
18792,0.416098,0.215234,-0.75582,0.889229,2
18912,0.319831,0.230099,-0.784271,0.877678,2
19031,0.348007,0.225852,-0.819835,0.91883,2
19150,0.268175,0.249211,-0.879109,0.95229,2
19269,0.127296,0.247088,-0.909931,0.951436,2
19389,0.082685,0.138786,-0.938382,0.952187,2
19550,0.11086,-0.045964,-0.83169,0.840304,2
19685,-0.154462,-0.181872,-1.016623,1.04425,0
19821,-0.579447,-0.226467,-0.836432,1.042432,0
19969,-0.849466,-0.383611,-0.376469,1.005226,0
20104,-0.607623,-0.46643,0.218637,0.796596,0
20251,-0.295341,-0.627821,0.427279,0.814833,0
20387,-0.175594,-0.787089,0.325329,0.869586,0
20536,-0.288297,-0.827436,0.204411,0.89975,0
20672,-0.290645,-0.79983,0.221007,0.879231,0
20808,-0.297689,-0.797706,0.368006,0.927568,0
20943,-0.349345,-0.663922,0.320587,0.815849,0
21088,-0.419784,-0.750988,0.313474,0.915679,0
21224,-0.595883,-0.850796,0.254201,1.069368,0
21359,-0.445612,-0.685157,0.363264,0.894411,0
0,-0.138026,-0.827436,0.17596,0.857125,0
109,-0.140374,-0.816818,0.180701,0.848263,0
228,-0.114546,-0.818942,0.171218,0.844454,0
347,-0.114546,-0.840178,0.173589,0.865536,0
487,-0.10985,-0.85929,0.168847,0.882584,0
606,-0.123938,-0.855043,0.178331,0.882191,0
726,-0.112198,-0.861413,0.166476,0.884497,0
853,-0.114546,-0.852919,0.190185,0.881341,0
972,-0.10985,-0.855043,0.190185,0.8828,0
1105,-0.138026,-0.835931,0.216266,0.874415,0
1235,-0.184986,-0.848672,0.287394,0.914909,0
1354,-0.269513,-0.706393,0.37749,0.84506,0
1496,-0.288297,-0.857166,0.590874,1.080269,0
1615,-0.356389,-0.593844,0.607471,0.921241,0
1734,-0.478484,-0.691528,0.652519,1.064396,0
1854,-0.410392,-0.491913,0.652519,0.914429,0
1973,-0.5184,-0.394229,0.671486,0.93544,0
2105,-0.42448,-0.105424,0.894354,0.995574,0
2273,-0.668671,-0.574732,-0.243697,0.914782,0
2409,-0.72737,-0.075694,-0.770045,1.061964,0
2545,-0.631103,-0.34114,-0.523468,0.88808,0
2681,-0.570055,0.036855,-0.822206,1.001171,0
2800,-0.642843,-0.118166,-0.848287,1.070887,0
2968,-0.330561,0.019866,-1.061671,1.11212,0
3100,0.11086,-0.18612,-0.997656,1.020905,0
3219,0.019289,-0.375117,-0.845916,0.925558,0
3339,-0.06289,-0.844425,-0.902818,1.237776,0
3474,-0.032367,-0.090559,-0.940753,0.945656,0
3610,-0.039411,-0.009864,-0.67995,0.681162,0
3755,-0.069934,0.011372,-0.592225,0.596448,1
3885,-0.025323,-0.330522,-0.594596,0.680757,1
4020,0.007549,-0.048088,-0.848287,0.849682,1
4169,0.136688,-0.018358,-0.734481,0.747318,1
4288,0.1226,-0.258321,-0.70603,0.761734,1
4408,-0.004191,-0.105424,-0.703659,0.711525,1
4555,-0.07463,-0.065076,-0.620676,0.628525,1
4691,-0.08637,0.126044,-0.466565,0.490948,1
4810,-0.208466,0.380872,-0.471307,0.640821,1
4929,-0.088718,0.555005,-0.374098,0.675167,2
5057,-0.217858,1.342847,-0.310083,1.395296,2
5205,-0.621711,2.107331,-0.962092,2.398539,2
5345,-0.43622,1.270646,-0.193907,1.357361,2
5464,-0.563011,0.949988,-0.431001,1.18542,2
5583,0.909175,0.506163,-0.698917,1.253509,3
5703,0.726033,1.066784,-1.064042,1.672524,3
5838,0.148428,1.920457,-0.575628,2.010357,3
5957,0.852824,2.73803,-0.217616,2.876017,3
6088,1.888285,0.780103,-1.329588,2.437618,3
6220,0.568718,-0.00774,-0.845916,1.019349,3
6339,0.085033,0.005001,-0.715514,0.720566,1
6478,-0.10985,0.2662,-0.599338,0.664932,1
6597,-0.292993,0.51041,-0.599338,0.839981,1
6727,0.345659,0.90964,-0.449969,1.072099,2
6847,-0.07463,1.907716,-0.5045,1.974707,2
6982,-0.80955,1.616787,-0.848287,1.997239,2
7101,-0.311777,1.73146,-0.931269,1.990583,2
7234,-0.692151,1.024312,-0.898076,1.528015,3
7353,1.08997,0.597476,-1.391232,1.86562,3
7483,0.608633,1.332229,-2.111998,2.570176,3
7603,-0.44796,2.128567,-0.179681,2.182601,3
7742,1.843673,2.663705,-0.962092,3.379361,3
7870,1.479736,0.092067,-1.618842,2.195164,3
7989,0.491234,0.300177,-0.758191,0.951982,1
8109,0.162516,0.387243,-0.577999,0.714459,1
8241,-0.250729,0.382996,-0.70603,0.841445,1
8360,-0.030019,0.54014,-0.613563,0.817993,1
8480,0.291655,0.956358,-0.255551,1.031984,2
8599,-0.210814,1.97567,-0.215246,1.99851,2
